Date,AAPL,CVX,EL,GS,HLI,JNJ,JPM,KO,MCD,META,MRK,PLTR,ULTA,UNH,XOM
2022-01-04,-0.01277260507181396,0.01803205858034444,0.004230754400827249,0.030270964689225983,0.04453908252764025,-0.0026851255920721405,0.03720860621649571,0.016557045916032947,-0.000260541967216664,-0.0059550166812565855,0.0018194987642251895,-0.019619190746174454,0.013245813673426643,-0.022917321316674687,0.03692381988608506
2022-01-05,-0.026960185490985295,0.006484880678671345,-0.043277522882207826,-0.021958072386098846,-0.04062358483364304,0.006641583633914329,-0.01845103751994531,0.00825903527067357,-0.004928073904633642,-0.037419248055089484,0.023992470110636467,-0.06891431022478563,-0.04206757678272764,-0.0024677447842403086,0.012360664532232358
2022-01-06,-0.01683419117256262,0.008473191823690633,-0.002024177436056445,-0.00427391927228072,0.048372323651002753,-0.0034320001785210687,0.010567967248559294,-0.005277869566414201,0.0093131184814608,0.02525139035135317,-0.0006341826656345248,-0.01305652499361131,-0.00249382912945227,-0.04178460901153311,0.02324845703927782
2022-01-07,0.0009876144491980977,0.014257563117014116,-0.0012949109048105616,0.0014601277389808581,0.010838429936257199,0.013426973950473374,0.009859506071109284,-0.0023179961934933807,-0.009799771513829289,-0.0020171797977646326,0.018476057856552167,-0.010810934681322151,-0.008500619516053791,-0.02380956038798802,0.00816303487988418
2022-01-10,0.00011612050384321721,0.0006398569580307759,-0.05513708325463782,0.004167321357155722,0.03608198633012543,-0.004956188254137868,0.0009567659419421078,0.0016561463903540026,-0.009972689374270987,-0.011275253971166478,0.025452018450623195,-0.003629735800722127,-0.04128377458956206,0.013858856802568547,-0.005969943451277712
2022-01-11,0.01664471808502897,0.02260251110307595,0.013836863564387403,0.009673379832164054,0.02287129319398507,-0.01068714938292654,0.0010153650391990497,0.0003308715706900273,-0.008698228560506302,0.019021133729073922,-0.008534825618458797,0.02336131377631331,0.008883357387768956,0.008565491986631705,0.04120139019533628
2022-01-12,0.0025667168462729234,-0.00501383125590477,0.014516694995077718,-0.032119255680457696,0.012204914062014504,-0.008562190470639313,0.005655780401895619,0.0014877486714056686,-0.0045887222049213515,-0.0033252118186099457,-0.00577173727632599,-0.010116128093608614,-0.0007285942999214491,0.010013725750535883,-0.002947595655209836
2022-01-13,-0.01921143493130175,-0.0041708932023968295,-0.0328589636361801,0.0012543603233504466,-0.01738424848984358,-0.006085000609669638,-0.0012474165976092458,0.005928959022469349,0.0018761090062526056,-0.02055417698258271,0.0014770133965231005,-0.04339202528443684,-0.01576821584413762,-0.01336686839319909,-0.007194638596166749
2022-01-14,0.00509780249122838,0.016891057288972836,-0.037571524537395554,-0.025554032434758556,-0.021598875118982768,-0.005466307956794944,-0.06343317121183198,0.00801360700775117,-0.014255079758203636,0.016464886830164577,0.0007374204609957141,0.0,-0.009752499832205457,0.0026920832169043357,0.017404052564220212
2022-01-18,-0.019074929134822994,0.003251582006252671,-0.03507452310885915,-0.07221561059995718,-0.07175528900593735,-0.004418599664191288,-0.04283254790325754,-0.00801360700775106,-0.00478411983251137,-0.04231067333246491,0.0019646591338878844,-0.06716532503567023,-0.004040435601635153,-0.016565317749716344,0.01669571564968134
2022-01-19,-0.021248865452838446,-0.00363933642622874,-0.0046095344598343635,-0.020179690859127734,-0.025078178581516064,-0.003116787777314472,-0.01559001773363764,0.0016405867425302644,-0.004924847784342678,0.004516228146680814,-0.0030712092477879955,-0.027770144680764823,-0.0034647414113483663,0.003313339342442121,0.0004105491808273811
