Date,AAPL,CVX,EL,GS,HLI,JNJ,JPM,KO,MCD,META,MRK,PLTR,ULTA,UNH,XOM
2022-01-03,177.939697265625,99.5871810913086,344.6125183105469,353.78643798828125,96.30347442626953,150.9022216796875,144.19158935546875,51.932373046875,242.0830535888672,335.59295654296875,66.98717498779297,18.530000686645508,413.2300109863281,463.2125549316406,54.39105224609375
2022-01-04,175.68136596679688,101.39921569824219,346.0736389160156,364.65966796875,100.68968963623047,150.49755859375,149.65782165527344,52.799373626708984,242.01995849609375,333.60052490234375,67.1091537475586,18.170000076293945,418.739990234375,452.7176208496094,56.43693542480469
2022-01-05,171.00828552246094,102.05889892578125,331.4158020019531,356.73974609375,96.6812744140625,151.50038146972656,146.92176818847656,53.237247467041016,240.83023071289062,321.3481140136719,68.73875427246094,16.959999084472656,401.489990234375,451.601806640625,57.138858795166016
2022-01-06,168.153564453125,102.9273452758789,330.7457275390625,355.2182922363281,101.47295379638672,150.98135375976562,148.48269653320312,52.9570198059082,243.0835418701172,329.5658874511719,68.69517517089844,16.739999771118164,400.489990234375,433.12054443359375,58.482791900634766
2022-01-07,168.3197784423828,104.4053726196289,330.3176574707031,355.73736572265625,102.57872772216797,153.0222625732422,149.95387268066406,52.83440399169922,240.71304321289062,328.9017639160156,69.97620391845703,16.559999465942383,397.1000061035156,422.92999267578125,58.9621696472168
2022-01-10,168.33935546875,104.47216033935547,312.5979309082031,357.222900390625,106.34756469726562,152.26568603515625,150.097412109375,52.92197799682617,238.32444763183594,325.2141418457031,71.78005981445312,16.5,381.0400085449219,428.8321533203125,58.611202239990234
2022-01-11,171.16470336914062,106.86039733886719,316.9534606933594,360.6951599121094,108.80792236328125,150.6470947265625,150.24989318847656,52.939491271972656,236.2603759765625,331.4592590332031,71.17005157470703,16.889999389648438,384.44000244140625,432.5210876464844,61.07651901245117
2022-01-12,171.6046600341797,106.32596588134766,321.5880126953125,349.2940673828125,110.14404296875,149.36270141601562,151.10214233398438,53.018310546875,235.1787567138672,330.35894775390625,70.76046752929688,16.719999313354492,384.1600036621094,436.8739929199219,60.89674377441406
2022-01-13,168.33935546875,105.8833999633789,311.1926574707031,349.7325134277344,108.24580383300781,148.45664978027344,150.91375732421875,53.33358383178711,235.62042236328125,323.6379699707031,70.86505126953125,16.010000228881836,378.1499938964844,431.0731506347656,60.46018981933594
2022-01-14,169.19961547851562,107.68708038330078,299.7176818847656,340.9086608886719,105.93290710449219,147.6473388671875,141.63807678222656,53.7627067565918,232.285400390625,329.0107421875,70.91732025146484,16.010000228881836,374.4800109863281,432.23516845703125,61.52164840698242
2022-01-18,166.00277709960938,108.0378189086914,289.3874206542969,317.1576232910156,98.59794616699219,146.996337890625,135.699462890625,53.33358383178711,231.17681884765625,315.3804626464844,71.05677032470703,14.970000267028809,372.9700012207031,425.134033203125,62.557437896728516
2022-01-19,162.51260375976562,107.64533233642578,288.0565185546875,310.8216552734375,96.15602111816406,146.5389404296875,133.6002960205078,53.421165466308594,230.0410919189453,316.8079528808594,70.83890533447266,14.5600004196167,371.67999267578125,426.5450744628906,62.583106994628906
2022-01-20,160.83103942871094,107.26119232177734,280.1832580566406,311.5196838378906,95.89804077148438,145.36895751953125,132.4610595703125,53.20222091674805,228.1573028564453,313.80426025390625,70.36833953857422,14.619999885559082,359.1099853515625,426.98773193359375,62.720054626464844
2022-01-21,158.77806091308594,105.9752426147461,276.42333984375,307.77008056640625,93.5298080444336,145.03463745117188,130.14662170410156,52.939491271972656,229.47325134277344,300.5308532714844,69.69731903076172,13.529999732971191,349.4200134277344,425.3001708984375,61.7784538269043
2022-01-24,158.00567626953125,106.20072174072266,280.8625793457031,307.3046569824219,94.04585266113281,143.3632354736328,130.0299835205078,52.510379791259766,228.58995056152344,306.02264404296875,68.69517517089844,13.399999618530273,364.8399963378906,426.3144836425781,62.30916976928711
2022-01-25,156.2068328857422,110.71829223632812,273.8081970214844,305.6579895019531,94.13802337646484,147.4626007080078,131.4473876953125,52.38775634765625,225.94898986816406,297.53717041015625,69.2441635131836,13.0600004196167,352.739990234375,421.3069152832031,64.14104461669922
2022-01-26,156.1188507080078,110.80178833007812,272.2819519042969,306.6692810058594,94.02742767333984,148.1223907470703,132.69427490234375,52.19510269165039,225.20089721679688,292.0652160644531,68.96532440185547,12.75,353.80999755859375,422.773193359375,63.4904670715332
